No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,ROW_IDX,ROW_NUM
81,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">APMUKS(BJ) B230147.96-373644.6</a>",346.142934,-37.342433,G,30279,0.101000,SUN,50,0,1,1,1,0,27,25,0,0,80,80
82,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J001038.14-495651.5</a>",2.658922,-49.947641,G,18287,0.061000,SUN,34,0,18,6,4,0,11,10,1,1,81,81
83,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J074156.99-623114.8</a>",115.487490,-62.520785,G,10566,0.035244,SLS,58,0,31,8,6,2,19,15,2,1,82,82
84,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LSBG F119-024</a>",74.861621,-58.830014,G,13491,0.045000,SUN,56,0,12,4,3,0,27,22,1,0,83,83
85,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J033638.38-182112.0</a>",54.159944,-18.353358,G,23684,0.079000,SUN,59,0,39,8,4,2,27,22,2,0,84,84
86,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J213459.35-624413.7</a>",323.747295,-62.737156,G,15162,0.050575,SLS,69,0,28,8,6,2,31,24,2,1,85,85
87,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1970G</a>",210.753708,54.242528,SN,,,,141,0,4,8,0,0,4,4,0,0,86,86
88,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1987A</a>",83.866615,-69.269752,SN,670,0.002235,UUN,2201,0,54,7,2,0,27,26,19,0,87,87
89,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1989L</a>",339.457250,23.786860,SN,,,,31,0,0,4,0,0,2,2,1,0,88,88
90,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1990O</a>",258.900688,16.322032,SN,,,,65,1,1,2,0,0,24,19,1,0,89,89
91,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1990T</a>",299.759556,-56.258349,SN,,,,40,0,0,2,0,0,12,10,0,0,90,90
92,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1990af</a>",323.747521,-62.737091,SN,,,,70,0,3,2,0,0,30,24,0,0,91,91
93,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1991S</a>",157.365790,22.012890,SN,,,,47,0,0,3,0,0,11,10,0,0,92,92
94,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1991U</a>",200.841926,-26.109146,SN,,,,44,0,1,2,0,0,16,15,0,0,93,93
95,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1991ag</a>",300.035868,-55.367541,SN,,,,49,0,1,2,0,0,18,17,0,0,94,94
96,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992J</a>",152.250283,-26.642144,SN,,,,41,0,0,2,0,0,15,15,0,0,95,95
97,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992P</a>",190.703960,10.360420,SN,,,,64,0,2,3,0,0,29,25,0,0,96,96
98,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992ae</a>",322.074760,-61.550380,SN,,,,59,0,1,2,0,0,28,24,0,0,97,97
99,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992ag</a>",201.041058,-23.878802,SN,,,,56,0,4,2,0,0,23,21,0,0,98,98
100,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992al</a>",311.485384,-51.394406,SN,,,,66,0,4,2,0,0,20,16,0,0,99,99
101,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992aq</a>",346.147257,-37.345317,SN,,,,52,0,0,2,0,0,27,25,0,0,100,100
102,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992au</a>",2.668664,-49.945919,SN,,,,31,0,0,2,0,0,10,10,0,0,101,101
103,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bc</a>",46.316884,-39.559597,SN,,,,93,0,5,2,0,0,28,23,0,0,102,102
104,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bg</a>",115.485632,-62.519456,SN,,,,48,0,1,2,0,0,18,15,0,0,103,103
105,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bh</a>",74.862819,-58.830399,SN,,,,53,0,3,2,0,0,26,22,0,0,104,104
106,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bk</a>",55.758691,-53.618734,SN,,,,33,0,0,2,0,0,15,14,0,0,105,105
107,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bl</a>",348.804529,-44.743263,SN,,,,54,0,2,2,0,0,26,22,0,0,106,106
108,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bo</a>",20.492451,-34.211997,SN,,,,90,0,5,2,0,0,27,22,0,0,107,107
109,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bp</a>",54.156901,-18.354166,SN,,,,54,0,3,2,0,0,26,22,0,0,108,108
110,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992br</a>",26.438824,-56.101252,SN,,,,43,0,0,2,0,0,20,19,0,0,109,109
111,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J014544.57-560551.6</a>",26.435739,-56.097688,G,26382,0.088000,SUN,46,0,28,6,3,2,20,19,2,0,110,110
112,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1992bs</a>",52.374892,-37.271847,SN,,,,48,0,1,2,0,0,25,21,0,0,111,111
113,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1993B</a>",158.717418,-34.441720,SN,,,,47,0,1,2,0,0,24,20,0,0,112,112
114,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[MH93a] 103235.1-341103</a>",158.716996,-34.443109,G,20686,0.069000,SUN,46,0,0,1,1,0,25,20,1,0,113,113
115,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1993O</a>",202.784899,-33.215157,SN,,,,55,0,3,2,0,0,26,22,0,0,114,114
116,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J13310895-3312576</a>",202.787280,-33.216070,G,15143,0.050510,SLS,67,0,11,9,6,2,27,22,2,0,115,115
117,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 0383 GROUP</a>",17.671746,32.189614,GGroup,5186,0.017300,SUN,39,1,2,1,2,0,0,0,1,0,116,116
118,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 096 GROUP</a>",162.144529,12.670804,GGroup,969,0.003232,SUN,124,2,0,1,3,0,0,0,1,0,117,117
119,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 3557 GROUP</a>",167.532574,-37.402123,GGroup,2843,0.009483,SUN,31,1,0,1,3,0,5,0,1,0,118,118
120,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 3370 GROUP</a>",190.464635,-40.687453,GGroup,3041,0.010144,SUN,58,2,0,1,2,0,12,0,1,0,119,119
121,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CEN 45</a>",192.204842,-41.041955,GGroup,4650,0.015511,SUN,22,2,0,1,1,0,6,0,0,0,120,120
122,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 508</a>",197.133551,-23.622397,GGroup,3196,0.010661,UUN,13,0,0,1,1,0,0,0,0,0,121,121
123,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LGG 429</a>",301.428664,-55.993532,GGroup,4695,0.015661,SUN,9,0,0,1,1,0,3,0,0,0,122,122
124,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Pegasus CLUSTER</a>",350.133729,8.190669,GClstr,3888,0.012970,UUN,117,0,0,1,1,0,3,0,0,0,123,123
125,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">UMa Cluster</a>",179.296451,49.288384,GClstr,899,0.003000,SUN,69,0,0,1,1,0,24,0,0,0,124,124
126,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Cancer CLUSTER</a>",125.228963,21.074209,GClstr,4704,0.015690,UUN,94,0,0,1,1,0,3,0,0,0,125,125
